group,n,duration_mean_s,duration_std_s,energy_mean_kwh,energy_std_kwh,power_mean_w,power_std_w,emissions_mean_kg,emissions_std_kg
docente,3,65.03638280000011,0.006118822041297107,0.0022038409382592002,2.1306437060456148e-07,121.99060025893573,0.0003207238100325661,0.0007288498674191666,7.046422252932169e-08
studente,3,65.03009626666683,0.0038471354465342816,0.0022036170808518666,1.1841898675497968e-07,121.990000756848,0.0007630673950573634,0.0007287758337451667,3.9163290459623375e-08
